iadr,id_t,id_txi,id_txo_in,id_txo_out,input_val,oadr,output_val,,,,,,,,,,,,,,,,,,,,
19MpkVggx7JVnhFp6ep4pgzWG4zp2EiF6P,113001810,449169851,876367708,876895788,0.95,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,4.5285,,,,,,,,,,,,,,,,,,,,
1Ltuf1bzXB8GWEqjNFWyuv91QjAX5iMRdg,113001810,449169850,876366103,876895788,0.859,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,4.5285,,,,,,,,,,,,,,,,,,,,
17ALAEYWRxB5DyuoB2ZDaitY5hgQtV5zjU,113001810,449169849,876368116,876895788,0.7093,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,4.5285,,,,,,,,,,,,,,,,,,,,
1HJNwCYS9gsaqAut9DVZ1C63LmkRDVn4rT,113001810,449169848,876365601,876895788,0.5199,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,4.5285,,,,,,,,,,,,,,,,,,,,
1D1pzSXXz8tLgjhmLuKfuqdjC76qBTgda3,113001810,449169847,876368655,876895788,0.4983,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,4.5285,,,,,,,,,,,,,,,,,,,,
1A11t8QbKjcN7DwH9S3zzEozGj5CrVzviP,113001809,449169846,876352936,876895787,0.659848,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
12pRbVXHSeBTewh8ypbuVYhXp6evHzDN1q,113001809,449169845,876348869,876895787,0.632793,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
1EKsaHXUkfdywb184rK5WsJ7ddzuCntSNp,113001809,449169844,876352652,876895787,0.613903,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
14aG6wBLBESV3K9HasL29vw2JwDuHpWGqB,113001809,449169843,876351185,876895787,0.608999,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
14hUcBTKAdCWq5JHYGKDLzuQxFXcbU4QXg,113001809,449169842,876347772,876895787,0.538894,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
