user,unique_sent_user,unique_sent,max_sent,min_sent,unique_sent_adr,unique_sent_tx,total_sent,unique_rec,unique_rec_tx,unique_rec_user,unique_rec_adr,max_rec,min_rec,total_rec,num_tx,is_miner,category
4885,2.0,2.0,0.0675353,0.014848,2.0,1.0,0.0823833,3.0,2.0,2.0,3.0,0.0675353,0.014848,0.0823833,3.0,0,unknown
4886,2.0,2.0,0.115146,0.0108595,2.0,1.0,0.1403037,5.0,3.0,3.0,5.0,0.0142982,0.0100017,0.0351594,4.0,0,unknown
4887,2.0,2.0,0.633344,0.633344,2.0,1.0,0.633344,1.0,1.0,1.0,1.0,0.616728,0.616728,0.616728,2.0,0,unknown
4888,2.0,2.0,0.204585,0.204585,2.0,1.0,0.204585,1.0,1.0,1.0,1.0,0.203212,0.203212,0.203212,2.0,0,unknown
4889,2.0,2.0,3.76412,3.76412,2.0,1.0,3.76412,2.0,2.0,2.0,2.0,3.76412,3.74156,7.50568,3.0,0,unknown
4890,2.0,2.0,0.174424,0.174424,2.0,1.0,0.174424,2.0,2.0,2.0,2.0,0.174424,0.0847437,0.2591677,3.0,0,unknown
4891,2.0,2.0,3.56944,3.56944,2.0,1.0,3.56944,1.0,1.0,1.0,1.0,3.56944,3.56944,3.56944,2.0,0,unknown
4892,2.0,2.0,11.6912,11.6912,2.0,1.0,11.6912,1.0,1.0,1.0,1.0,11.6912,11.6912,11.6912,2.0,0,unknown
4893,2.0,2.0,21.578,21.578,2.0,1.0,21.578,2.0,2.0,2.0,2.0,21.578,18.1078,39.6858,3.0,0,unknown
4894,2.0,2.0,12.15,12.15,2.0,1.0,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4895,1.0,1.0,0.137,0.137,1.0,1.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4896,13.0,13.0,30.2105,30.2105,13.0,1.0,30.210499999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4897,2.0,2.0,0.0136309,0.0105506,2.0,1.0,0.0347762,3.0,1.0,1.0,3.0,0.0102041,0.0102041,0.0102041,2.0,0,unknown
4898,1.0,1.0,3.4997,0.6991,1.0,1.0,4.1988,2.0,1.0,1.0,2.0,3.4997,3.4997,3.4997,2.0,0,unknown
4899,2.0,2.0,0.0265109,0.0265109,2.0,1.0,0.0265109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
4900,2.0,2.0,0.0100056,0.0005,2.0,1.0,0.0105056,2.0,1.0,1.0,2.0,0.0100025,0.0100025,0.0100025,2.0,0,unknown
4901,2.0,2.0,0.13025,0.13025,2.0,1.0,0.13025,1.0,1.0,1.0,1.0,0.13025,0.13025,0.13025,2.0,0,unknown
4902,2.0,2.0,0.47532,0.47532,2.0,1.0,0.47532,1.0,1.0,1.0,1.0,0.47532,0.47532,0.47532,2.0,0,unknown
4903,10.0,10.0,6.66705,6.66705,10.0,1.0,6.6670500000000015,1.0,1.0,1.0,1.0,6.66705,6.66705,6.66705,2.0,0,unknown
4904,2.0,2.0,3.0,3.0,2.0,1.0,3.0,11.0,2.0,2.0,10.0,3.0,1.49974,4.499739999999999,3.0,0,unknown
